test_id,request_name,feature,description,expected_status,expect_array,expect_empty,expect_count,expect_field,expect_field_type,search,id,categoryName,expected_owner_user_id,expected_role
TC-FR05-01,GET /api/products,FR05,Get full product list without Authorization,200,true,false,5,,,,,,,
TC-FR05-02,GET /api/products,FR05,Response body is a JSON array,200,true,,,,,,,,,
TC-FR05-03,GET /api/products,FR05,Product count matches seed data,200,true,false,5,,,,,,,
TC-FR05-04,GET /api/products,FR05,Each product contains required schema fields,200,true,,,id;name;price;description;imageUrl;category_id,id:number;name:string;price:number;description:string;imageUrl:string;category_id:number,,,,,
TC-FR05-05,GET /api/products,FR05,Listing price type follows schema: number,200,,,,price,number,,,,,
TC-FR05-06,GET /api/products,FR05,Seed product id=1 data matches database,200,true,,,id;name;price;category_id,id:number;name:string;price:number;category_id:number,,1,,,
TC-FR05-07,GET /api/products,FR05,Seed product id=3 data matches database,200,true,,,id;name;price;category_id,id:number;name:string;price:number;category_id:number,,3,,,
TC-FR05-08,GET /api/products,FR05,All category_id values reference valid categories,200,true,,,category_id,number,,,,,
TC-FR05-09,GET /api/products,FR05,Response Content-Type is application/json,200,,,,,,,,,,
TC-FR05-10,GET /api/products,FR05,Anonymous access returns the full list,200,true,false,5,,,,,,,
TC-FR05-11,GET /api/products,FR05,Invalid Authorization header does not block public endpoint,200,true,,,,,,,,,
TC-FR05-12,GET /api/products?search=iPhone,FR05,Partial-name search returns product id=1,200,true,false,1,,,iPhone,1,,,
TC-FR05-13,GET /api/products?search=iPhone 15 Pro Max,FR05,Exact full-name search returns product id=1,200,true,false,1,,,iPhone 15 Pro Max,1,,,
TC-FR05-14,GET /api/products?search=Pro,FR05,Substring search returns all products containing Pro,200,true,false,3,,,Pro,,,,
TC-FR05-15,GET /api/products?search=Xiaomi,FR05,Search with no matching result returns empty array,200,true,true,0,,,Xiaomi,,,,
TC-FR05-16,GET /api/products?search=iphone,FR05,Lowercase search behavior is recorded; SQLite LIKE likely matches id=1,200,true,,,,,iphone,1,,,
TC-FR05-17,GET /api/products?search=IPHONE,FR05,Uppercase search behavior is consistent with lowercase variant,200,true,,,,,IPHONE,1,,,
TC-FR05-18,GET /api/products?search=15,FR05,Numeric substring search returns product id=1,200,true,false,1,,,15,1,,,
TC-FR05-19,GET /api/products?search=Điện thoại,FR05,Search only targets product name; no match expected,200,true,true,0,,,Điện thoại,,,,
TC-FR05-20,GET /api/products?search=Bàn phím cơ Keychron,FR05,Long partial name search returns product id=5,200,true,false,1,,,Bàn phím cơ Keychron,5,,,
TC-FR05-21,GET /api/products?search=,FR05,Empty search behaves like LIKE %% and returns all products,200,true,false,5,,,,,,,
TC-FR05-22,GET /api/products,FR05,Missing search parameter returns all products,200,true,false,5,,,,,,,
TC-FR05-23,GET /api/products?search=%20%20%20,FR05,Whitespace-only search records trim behavior,200,true,,,,,,,,,
TC-FR05-24,GET /api/products?search=%20iPhone%20,FR05,Search with leading/trailing spaces records trim behavior,200,true,,,,, iPhone ,,,,
TC-FR05-25,GET /api/products?search=@#$%^&*(),FR05,Special-character search does not cause server error and returns no match,200,true,true,0,,,@#$%^&*(),,,,
TC-FR05-26,GET /api/products?search=%,FR05,Percent wildcard search is handled without server error,200,true,,,,,%,,,,
TC-FR05-27,GET /api/products?search=<500 chars>,FR05,Very long search string is handled without 500 or timeout,200,true,,,,,,,,,
TC-FR05-28,GET /api/products?search[]=iPhone,FR05,Array-form search parameter does not cause 500; observe actual handling,200,true,,,,,,,,,
TC-FR05-29,GET /api/products?search=iPhone&search=Samsung,FR05,Duplicate search parameters are handled consistently,200,true,,,,,,,,,
TC-FR05-30,GET /api/products?search=' OR '1'='1,FR05,SQL injection tautology does not manipulate results or cause 500,200,true,,,,,' OR '1'='1,,,,
TC-FR05-31,GET /api/products?search='; DROP TABLE products; --,FR05,DROP TABLE injection does not destroy products table; list remains available,200,true,false,5,,,'; DROP TABLE products; --,,,,
TC-FR05-32,GET /api/products?search=' UNION SELECT * FROM sqlite_master --,FR05,UNION injection does not leak system/other table data,200,true,,,,,,,,,
